MeasureItem;Year;Month;Value;ProvidedValue;AVG_Value;FromAreaCode;ToAreaCode;MeasureTime;Direction;Flag;FromAreaMemberType;ToAreaMemberType
Physical Energy & Power Flows;2024;10;607;607;607;GB;BE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;60;60;60;GB;BE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;401;401;401;GB;BE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;117;117;117;GB;BE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;348;348;348;GB;BE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;75;75;75;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;424;424;424;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;31;31;31;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;450;450;450;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;73;73;73;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;526;526;526;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;162;162;162;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;188;188;188;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;147;147;147;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;490;490;490;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;117;117;117;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;332;332;332;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;175;175;175;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;451;451;451;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;160;160;160;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;150;150;150;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;148;148;148;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;485;485;485;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;89;89;89;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;609;609;609;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;107;107;107;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;456;456;456;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;114;114;114;GB;DK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;580;580;580;GB;DK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;238;238;238;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;1183;1183;1183;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;54;54;54;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;1619;1619;1619;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;3;3;3;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;2384;2384;2384;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;9;9;9;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;1981;1981;1981;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;2236;2236;2236;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;5;5;5;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;2332;2332;2332;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;14;14;14;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;2380;2380;2380;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;69;69;69;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;1790;1790;1790;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;6;6;6;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;1347;1347;1347;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;4;4;4;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;874;874;874;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;38;38;38;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;1258;1258;1258;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;282;282;282;GB;FR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;1160;1160;1160;GB;FR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;199;199;199;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;25;25;25;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;183;183;183;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;17;17;17;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;186;186;186;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;15;15;15;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;222;222;222;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;4;4;4;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;261;261;261;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;1;1;1;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;262;262;262;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;4;4;4;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;290;290;290;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;1;1;1;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;273;273;273;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;6;6;6;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;223;223;223;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;7;7;7;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;210;210;210;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;19;19;19;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;230;230;230;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;12;12;12;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;180;180;180;GB;IE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;20;20;20;GB;IE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;98;98;98;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;359;359;359;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;59;59;59;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;399;399;399;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;92;92;92;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;427;427;427;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;246;246;246;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;282;282;282;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;202;202;202;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;283;283;283;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;208;208;208;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;315;315;315;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;0;0;0;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;1;1;1;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;273;273;273;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;109;109;109;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;181;181;181;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;340;340;340;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;98;98;98;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;407;407;407;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;132;132;132;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;307;307;307;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;25;25;25;GB;NL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;62;62;62;GB;NL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;56;56;56;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;586;586;586;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;36;36;36;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;736;736;736;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;25;25;25;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;872;872;872;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;104;104;104;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;701;701;701;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;1037;1037;1037;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;5;5;5;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;923;923;923;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;10;10;10;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;1039;1039;1039;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;23;23;23;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;895;895;895;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;1;1;1;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;1014;1014;1014;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;668;668;668;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;7;7;7;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;861;861;861;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;7;7;7;GB;NO;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;857;857;857;GB;NO;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;2;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;3;6;6;6;GE;AM;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;3;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;4;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;5;26;26;26;GE;AM;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;5;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;6;54;54;54;GE;AM;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;7;46;46;46;GE;AM;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;7;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;8;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;9;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;10;3;3;3;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;11;69;69;69;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;12;0;0;0;GE;AM;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;1;8;8;8;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;1;102;102;102;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;2;4;4;4;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;2;93;93;93;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;3;1;1;1;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;3;125;125;125;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;4;6;6;6;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;4;33;33;33;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;5;7;7;7;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;5;6;6;6;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;6;4;4;4;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;6;4;4;4;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;7;7;7;7;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;7;7;7;7;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;8;0;0;0;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;8;276;276;276;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;9;2;2;2;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;9;257;257;257;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;10;2;2;2;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;10;1;1;1;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;11;0;0;0;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;12;0;0;0;GE;AZ;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;12;128;128;128;GE;AZ;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;1;162;162;162;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;2;184;184;184;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;3;119;119;119;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;4;11;11;11;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;5;9;9;9;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;6;0;0;0;GE;RU;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;6;65;65;65;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;7;8;8;8;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;8;0;0;0;GE;RU;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;8;7;7;7;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;9;27;27;27;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;10;184;184;184;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;11;201;201;201;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;12;181;181;181;GE;RU;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;1;88;88;88;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;1;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;2;90;90;90;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;2;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;3;125;125;125;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;3;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;4;79;79;79;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;4;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;5;256;256;256;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;5;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;6;355;355;355;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;6;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;7;168;168;168;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;7;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;8;328;328;328;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;8;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;9;252;252;252;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;9;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;10;0;0;0;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;11;1;1;1;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;11;1;1;1;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;12;1;1;1;GE;TR;Monthly Value;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2024;12;1;1;1;GE;TR;Monthly Value;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2024;1;39;39;39;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;107;107;107;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;42;42;42;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;109;109;109;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;56;56;56;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;120;120;120;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;135;135;135;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;42;42;42;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;63;63;63;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;50;50;50;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;50;50;50;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;56;56;56;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;127;127;127;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;11;11;11;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;102;102;102;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;17;17;17;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;57;57;57;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;47;47;47;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;83;83;83;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;54;54;54;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;163;163;163;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;12;12;12;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;126;126;126;GR;AL;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;31;31;31;GR;AL;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;66;66;66;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;173;173;173;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;13;13;13;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;256;256;256;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;42;42;42;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;242;242;242;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;52;52;52;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;140;140;140;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;92;92;92;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;59;59;59;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;81;81;81;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;84;84;84;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;37;37;37;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;147;147;147;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;47;47;47;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;199;199;199;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;31;31;31;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;264;264;264;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;74;74;74;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;176;176;176;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;218;218;218;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;24;24;24;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;140;140;140;GR;BG;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;92;92;92;GR;BG;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;225;225;225;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;57;57;57;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;287;287;287;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;10;10;10;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;299;299;299;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;13;13;13;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;265;265;265;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;7;7;7;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;169;169;169;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;49;49;49;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;42;42;42;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;17;17;17;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;184;184;184;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;102;102;102;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;203;203;203;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;80;80;80;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;229;229;229;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;62;62;62;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;264;264;264;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;32;32;32;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;176;176;176;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;87;87;87;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;183;183;183;GR;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;62;62;62;GR;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;90;90;90;GR;MK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;174;174;174;GR;MK;Monthly Value;Import;Harmonized;M;M
